x(m)           y(m)           x(m)           lat(degs)      lon(degs)      heading(rads)  pitch(rads)    roll(rads)     
-40035.29158   11151.44567    1200.00000     33.59954       35.56629       1.57296        0.00000        0.02742        
-39802.10068   11180.54906    1200.00000     33.59981       35.56880       1.57296        0.00000        0.02742        
-39568.90979   11209.65244    1200.00000     33.60008       35.57131       1.57296        0.00000        0.02742        
-39335.71890   11238.75583    1200.00000     33.60035       35.57382       1.57296        0.00000        0.02742        
-39102.52800   11267.85922    1200.00000     33.60062       35.57633       1.57296        0.00000        0.02742        
-38869.33711   11296.96261    1200.00000     33.60089       35.57884       1.57296        0.00000        0.02742        
-38636.14622   11326.06599    1200.00000     33.60116       35.58135       1.57296        0.00000        0.02742        
-38402.95532   11355.16938    1200.00000     33.60143       35.58386       1.57296        0.00000        0.02742        
-38169.76443   11384.27277    1200.00000     33.60170       35.58637       1.57296        0.00000        0.02742        
-37936.57354   11413.37616    1200.00000     33.60197       35.58888       1.57296        0.00000        0.02742        
-37703.38264   11442.47955    1200.00000     33.60224       35.59139       1.57296        0.00000        0.02742        
-37470.19175   11471.58293    1200.00000     33.60251       35.59390       1.57296        0.00000        0.02742        
-37237.00086   11500.68632    1200.00000     33.60278       35.59641       1.57296        0.00000        0.02742        
-37003.80996   11529.78971    1200.00000     33.60306       35.59892       1.57296        0.00000        0.02742        
-36770.61907   11558.89310    1200.00000     33.60333       35.60143       1.57296        0.00000        0.02742        
-36537.42818   11587.99648    1200.00000     33.60360       35.60395       1.57296        0.00000        0.02742        
-36304.23728   11617.09987    1200.00000     33.60387       35.60646       1.57296        0.00000        0.02742        
-36071.04639   11646.20326    1200.00000     33.60414       35.60897       1.57296        0.00000        0.02742        
-35837.85549   11675.30665    1200.00000     33.60441       35.61148       1.57296        0.00000        0.02742        
-35604.66460   11704.41003    1200.00000     33.60468       35.61399       1.57296        0.00000        0.02742        
-35371.47371   11733.51342    1200.00000     33.60495       35.61650       1.57296        0.00000        0.02742        
-35138.28281   11762.61681    1200.00000     33.60522       35.61901       1.57296        0.00000        0.02742        
-34905.09192   11791.72020    1200.00000     33.60549       35.62152       1.57296        0.00000        0.02742        
-34671.90103   11820.82358    1200.00000     33.60576       35.62403       1.57296        0.00000        0.02742        
-34438.71013   11849.92697    1200.00000     33.60603       35.62654       1.57296        0.00000        0.02742        
-34205.51924   11879.03036    1200.00000     33.60630       35.62905       1.57296        0.00000        0.02742        
-33972.32835   11908.13375    1200.00000     33.60657       35.63156       1.57296        0.00000        0.02742        
-33739.13745   11937.23714    1200.00000     33.60684       35.63408       1.57296        0.00000        0.02742        
-33505.94656   11966.34052    1200.00000     33.60711       35.63659       1.57296        0.00000        0.02742        
-33272.75567   11995.44391    1200.00000     33.60738       35.63910       1.57296        0.00000        0.02742        
-33039.56477   12024.54730    1200.00000     33.60765       35.64161       1.57296        0.00000        0.02742        
-32806.37388   12053.65069    1200.00000     33.60791       35.64412       1.57296        0.00000        0.02742        
-32573.18298   12082.75407    1200.00000     33.60818       35.64663       1.57296        0.00000        0.02742        
-32339.99209   12111.85746    1200.00000     33.60845       35.64914       1.57296        0.00000        0.02742        
-32106.80120   12140.96085    1200.00000     33.60872       35.65165       1.57296        0.00000        0.02742        
-31873.61030   12170.06424    1200.00000     33.60899       35.65416       1.57296        0.00000        0.02742        
-31640.41941   12199.16762    1200.00000     33.60926       35.65667       1.57296        0.00000        0.02742        
-31407.22852   12228.27101    1200.00000     33.60953       35.65919       1.57296        0.00000        0.02742        
-31174.03762   12257.37440    1200.00000     33.60980       35.66170       1.57296        0.00000        0.02742        
-30940.84673   12286.47779    1200.00000     33.61007       35.66421       1.57296        0.00000        0.02742        
-30707.65584   12315.58117    1200.00000     33.61034       35.66672       1.57296        0.00000        0.02742        
-30474.46494   12344.68456    1200.00000     33.61061       35.66923       1.57296        0.00000        0.02742        
-30241.27405   12373.78795    1200.00000     33.61088       35.67174       1.57296        0.00000        0.02742        
-30008.08316   12402.89134    1200.00000     33.61115       35.67425       1.57296        0.00000        0.02742        
-29774.89226   12431.99473    1200.00000     33.61141       35.67676       1.57296        0.00000        0.02742        
-29541.70137   12461.09811    1200.00000     33.61168       35.67928       1.57296        0.00000        0.02742        
-29308.51048   12490.20150    1200.00000     33.61195       35.68179       1.57296        0.00000        0.02742        
-29075.31958   12519.30489    1200.00000     33.61222       35.68430       1.57296        0.00000        0.02742        
-28842.12869   12548.40828    1200.00000     33.61249       35.68681       1.57296        0.00000        0.02742        
